320kbps,album,album_url,albumid,artistMap,cache_state,copyright_text,disabled,disabled_text,duration,encrypted_media_path,encrypted_media_url,explicit_content,featured_artists,featured_artists_id,genere,has_lyrics,id,image,label,label_url,language,lyrics_snippet,media_preview_url,media_url,music,music_id,origin,perma_url,play_count,primary_artists,primary_artists_id,release_date,rights,singers,song,song_id,starred,starring,type,vcode,vlink,year
true,Jesus,https://www.jiosaavn.com/album/jesus/GekIXXJHXfU_,2457552,{'Chris Tomlin': '572982'},false,℗ 2016 sixstepsrecords/Sparrow Records,true,Unavailable,249,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyx56bevaz3M6zPISzqnI19Lw9D+wZR83BUzsoJl+YnDeSNJnsaOdvjxw7tS9a8Gtq,0,,,Rock,true,PUjl7vs8,https://c.saavncdn.com/042/Jesus-English-2016-500x500.jpg,SixSteps (SIX),/label/sixsteps-six-albums/331rVnozP7I_,english,Who walks on the waters,https://preview.saavncdn.com/042/e64fdae7ede39672d2ba1d27b1b3576b_96_p.mp4,https://aac.saavncdn.com/042/e64fdae7ede39672d2ba1d27b1b3576b_320.mp4,,,playlist,https://www.jiosaavn.com/song/jesus/ID0BXUNGRAs,171966,Chris Tomlin,572982,2016-07-15,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Chris Tomlin,Jesus,Rock_PUjl7vs8,false,,,,,2016
true,The Dark Side of the Moon,https://www.jiosaavn.com/album/the-dark-side-of-the-moon/dUSILT4q-uU_,1707513,"{'David Gilmour': '528009', 'Nick Mason': '584040', 'Pink Floyd': '559789', 'Richard Wright': '584041', 'Roger Waters': '513987'}",false,"(P) 2016 The copyright in this sound recording is owned by Pink Floyd Music Ltd., marketed and distributed by Sony Music Entertainment",true,Unavailable,418,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyEXAVDizr7kW4HDCqx9OUZXjK7FqYCV2zKUxXiLRsLmSO8RF696eDshw7tS9a8Gtq,1,,,Rock,false,IPbuIHKX,https://c.saavncdn.com/261/The-Dark-Side-of-the-Moon-English-1973-500x500.jpg,Pink Floyd Records,/label/pink-floyd-records-albums/egkOv88UsRQ_,english,,https://preview.saavncdn.com/261/968e54e9c3716e6e55d8d0ef7bea1938_96_p.mp4,https://aac.saavncdn.com/261/968e54e9c3716e6e55d8d0ef7bea1938_320.mp4,"Roger Waters, David Gilmour, Nick Mason, Richard Wright","513987, 528009, 584040, 584041",playlist,https://www.jiosaavn.com/song/time/OTgJRD14fGs,404811,Pink Floyd,559789,1973-03-01,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}","Pink Floyd, David Gilmour, Nick Mason, Richard Wright",Time,Rock_IPbuIHKX,false,,,,,1973
true,We Are The Champions (Raw Sessions Version),https://www.jiosaavn.com/album/we-are-the-champions-raw-sessions-version/-Aiy0N8YTPg_,11597696,{'Queen': '527759'},false,"℗ 2017 Queen Productions Ltd, under exclusive licence to Universal International Music BV",true,Unavailable,273,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDy+Gb/Yq9GIwXJpZYU/OHgAhnZyF8OU13lcxw9hEAeDAJNWOmJ07KcSRw7tS9a8Gtq,0,,,Rock,false,ifkMQ1jy,https://c.saavncdn.com/503/We-Are-The-Champions-Raw-Sessions-Version--English-2017-20171005000746-500x500.jpg,EMI,/label/emi-albums/MyLMUhzHoP8_,english,,https://preview.saavncdn.com/503/b7cc112550016e8721ac0a1428b1a33b_96_p.mp4,https://aac.saavncdn.com/503/b7cc112550016e8721ac0a1428b1a33b_320.mp4,,,playlist,https://www.jiosaavn.com/song/we-are-the-champions-alternative-version/GQ4AfCUBXUo,214253,Queen,527759,2017-10-06,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Queen,We Are The Champions (Alternative Version),Rock_ifkMQ1jy,false,,,,,2017
true,Unleashed,https://www.jiosaavn.com/album/unleashed/-kwmrQN86Og_,2502954,{'Skillet': '704751'},false,℗ 2016 Atlantic Recording Corporation,true,Unavailable,232,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyWCZDkD60CncTTRp8MH8RAu/P6ss7D3hPXj8GTM/cBu/smmSFQWp84xw7tS9a8Gtq,0,,,Rock,true,ZKY9_R-U,https://c.saavncdn.com/141/Unleashed-English-2016-500x500.jpg,Atlantic Records,/label/atlantic-records-albums/moT3cDqfUuo_,english,This is how we rise up,https://preview.saavncdn.com/141/cf6c70c373252370afee28bf61fe7110_96_p.mp4,https://aac.saavncdn.com/141/cf6c70c373252370afee28bf61fe7110_320.mp4,,,playlist,https://www.jiosaavn.com/song/the-resistance/KiMyCCtiGmY,124774,Skillet,704751,2016-08-05,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Skillet,The Resistance,Rock_ZKY9_R-U,false,,,,,2016
true,"Wake Me up When September Ends (Live at Foxboro, MA, 9/3/05)","https://www.jiosaavn.com/album/wake-me-up-when-september-ends-live-at-foxboro-ma-9305/GPD,HhHGkPE_",1169546,{'Green Day': '645985'},false,℗ 2005 Reprise Records,true,Unavailable,340,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyv2Ah1LgJ8Xw3/BmRbYYriyaQSXzlIXwVmNHQtjl97DQSt4GqWV/6Gxw7tS9a8Gtq,0,,,Rock,false,nhn4ApPt,https://c.saavncdn.com/067/Wake-Me-Up-When-September-Ends-Live-DMD-Single-English-2012-500x500.jpg,Reprise,/label/reprise-albums/4qzt2Vqle3Y_,english,,https://preview.saavncdn.com/067/a9bbde0b7d0067ea96c1700d2760fdd0_96_p.mp4,https://aac.saavncdn.com/067/a9bbde0b7d0067ea96c1700d2760fdd0_320.mp4,,,playlist,https://www.jiosaavn.com/song/wake-me-up-when-september-ends-live-at-foxboro-ma-9305/HgAFBTVAZ0c,694083,Green Day,645985,2005-09-27,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Green Day,"Wake Me up When September Ends (Live at Foxboro, MA, 9/3/05)",Rock_nhn4ApPt,false,,,,,2005
true,All the Right Reasons,https://www.jiosaavn.com/album/all-the-right-reasons/hANnOviSM2c_,1184399,{'Nickelback': '625007'},false,"℗ 2005 Roadrunner Records, Inc.",true,Unavailable,255,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyXwimuRe6WbHCmh04m5UgibHMPGW4wApWsIG1yMlUqlobUfypiGuDKhw7tS9a8Gtq,0,,,Rock,false,9zw0Wj4Z,https://c.saavncdn.com/007/All-The-Right-Reasons-English-2008-500x500.jpg,Roadrunner Records,/label/roadrunner-records-albums/JXzwV6ROv0U_,english,,https://preview.saavncdn.com/007/35975e31ad23063eca72f075d8eb66e7_96_p.mp4,https://aac.saavncdn.com/007/35975e31ad23063eca72f075d8eb66e7_320.mp4,,,playlist,https://www.jiosaavn.com/song/rockstar/SRIcASNaA2k,314403,Nickelback,625007,2005-09-26,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Nickelback,Rockstar,Rock_9zw0Wj4Z,false,,,,,2005
true,Carnival of Rust,https://www.jiosaavn.com/album/carnival-of-rust/cshsJ4Odawk_,2190278,{'Poets Of The Fall': '742553'},false,© 2006 Insomniac,true,Unavailable,220,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyWDjEyF4e0E3U15PuDmAvtsVHI0XZ5PFL7IN+on+KWn52y656wgYJtBw7tS9a8Gtq,0,,,Rock,true,uYn2IBHN,https://c.saavncdn.com/682/Carnival-of-Rust-English-2006-500x500.jpg,Insomniac,/label/insomniac-albums/525ht9TzV54_,english,"Don't walk away, don't walk away, oh",https://preview.saavncdn.com/682/4557756c2cebc8416a3c6cfe06203aa3_96_p.mp4,https://aac.saavncdn.com/682/4557756c2cebc8416a3c6cfe06203aa3_320.mp4,,,playlist,https://www.jiosaavn.com/song/carnival-of-rust/BTEFAz1yf30,764655,Poets Of The Fall,742553,2006-03-22,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Poets Of The Fall,Carnival of Rust,Rock_uYn2IBHN,false,,,,,2006
true,In Utero,"https://www.jiosaavn.com/album/in-utero/D,0br94NdXg_",1125556,"{'Kurt Cobain': '530867', 'Nirvana': '624728'}",false,© 1999 Universal Music India Ltd.,true,Unavailable,279,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDy+bvgIvD7TbeU41rTT+IjyJQ3h6WPU3xhlxjOH3lMm0D0YRJirmdbIBw7tS9a8Gtq,0,,,Rock,false,37DetraU,https://c.saavncdn.com/629/In-Utero-1999-500x500.jpg,Universal Music India Ltd.,/label/universal-music-india-ltd.-albums/83g4yNwLlO8_,english,,https://preview.saavncdn.com/629/2264518e37b18c9b53d399c39adec2c4_96_p.mp4,https://aac.saavncdn.com/629/2264518e37b18c9b53d399c39adec2c4_320.mp4,Kurt Cobain,530867,playlist,https://www.jiosaavn.com/song/heart-shaped-box/Q18vVABCVmY,148917,Nirvana,624728,1999-09-30,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Nirvana,Heart Shaped Box,Rock_37DetraU,false,,,,,1999
true,Avenged Sevenfold,https://www.jiosaavn.com/album/avenged-sevenfold/6TWnxo5lab8_,1176012,{'Avenged Sevenfold': '713000'},false,℗ 2007 Warner Records Inc.,true,Unavailable,393,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDyanLRnclCPU4NOX/QhEiHO8RzSal6fdOQNPc0LYl5XJLEEFcl9zqethw7tS9a8Gtq,1,,,Rock,false,YWek5W31,https://c.saavncdn.com/083/Avenged-Sevenfold-English-2012-500x500.jpg,Warner Records,/label/warner-records-albums/8FBCbUPZpYc_,english,,https://preview.saavncdn.com/083/e6af2b50502e52725db749b4f931a4ff_96_p.mp4,https://aac.saavncdn.com/083/e6af2b50502e52725db749b4f931a4ff_320.mp4,,,playlist,https://www.jiosaavn.com/song/dear-god/KT8OWkFnBAI,263449,Avenged Sevenfold,713000,2007-10-26,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Avenged Sevenfold,Dear God,Rock_YWek5W31,false,,,,,2007
true,Nimrod,https://www.jiosaavn.com/album/nimrod/wR151v3vGI0_,1179546,{'Green Day': '645985'},false,℗ 1997 Reprise Records for the U.S. and WEA International Inc. for the world outside of the U.S.,true,Unavailable,154,NMKyboFo/Fi0VFqJf5Q3Rw==,ID2ieOjCrwfgWvL5sXl4B1ImC5QfbsDy/TDO1NcEXZYZTfEGANtQFNQMI1btMmd7/Ao4W2fql/40WAe2BEYmnRw7tS9a8Gtq,1,,,Rock,false,DA7RZ92l,https://c.saavncdn.com/462/Nimrod-U-S-Version-English-2007-500x500.jpg,Reprise,/label/reprise-albums/4qzt2Vqle3Y_,english,,https://preview.saavncdn.com/462/53929b642a2039b3a0c6276521495333_96_p.mp4,https://aac.saavncdn.com/462/53929b642a2039b3a0c6276521495333_320.mp4,,,playlist,https://www.jiosaavn.com/song/good-riddance-time-of-your-life/NClcYy4JBV8,267916,Green Day,645985,1997-10-14,"{'cacheable': False, 'code': 1, 'delete_cached_object': True, 'reason': 'Unavailable'}",Green Day,Good Riddance (Time of Your Life),Rock_DA7RZ92l,false,,,,,1997
